RADSAT-SK Data Log : 2023_03_05
recvTime,preamble,checkSum,length,timestamp,msgID,supervisorUptime,obcUptime,obcResetCount,adcUpdateFlag,adcsTemperature,adcsVoltage_3v3in,adcsVoltage_3v3,adcsVoltage_2v5,adcsVoltage_1v8,adcsVoltage_1v0,adcsCurrent_3v3,adcsCurrent_1v8,adcsCurrent_1v0,adcsVoltage_rtc,rxDoppler,rxRssi,busVoltage,totalCurrent,txCurrent,rxCurrent,powerAmplifierCurrent,powerAmplifierTemperature,boardTemperature,uptime,frames,reflectedPower,forwardPower,busVoltage,totalCurrent,txCurrent,rxCurrent,powerAmplifierCurrent,powerAmplifierTemperature,boardTemperature,uptime,uptime,current_3V3,current_5V,current_SRAM_1,current_SRAM_2,overcurrent_SRAM_1,overcurrent_SRAM_2,camera1DetectionThreshold,camera1AutoAdjustMode,camera1Exposure,camera1AutoGainControl,camera1BlueGain,camera1RedGain,camera2DetectionThreshold,camera2AutoAdjustMode,camera2Exposure,camera2AutoGainControl,camera2BlueGain,camera2RedGain,outputVoltageBCR,outputVoltageBatteryBus,outputVoltage5VBus,outputVoltage3V3Bus,outputCurrentBCR_mA,outputCurrentBatteryBus,outputCurrent5VBus,outputCurrent3V3Bus,PdbTemperature,sunSensorBCR1Voltage,sunSensorSA1ACurrent,sunSensorSA1BCurrent,sunSensorBCR2Voltage,sunSensorSA2ACurrent,sunSensorSA2BCurrent,sunSensorBCR3Voltage,sunSensorSA3ACurrent,sunSensorSA3BCurrent,outputVoltageBatteryBus,outputVoltage5VBus,outputVoltage3V3Bus,outputCurrentBatteryBus,outputCurrent5VBus,outputCurrent3V3Bus,batteryCurrentDirection,motherboardTemp,daughterboardTemp1,daughterboardTemp2,daughterboardTemp3,deployedAntenna1,deployedAntenna2,deployedAntenna3,deployedAntenna4,armed,boardTemp,uptime,deployedAntenna1,deployedAntenna2,deployedAntenna3,deployedAntenna4,armed,boardTemp,uptime,channelZero,channelOne,channelTwo,channelThree,channelFour,channelFive,channelSix,channelSeven,channelZero,channelOne,channelTwo,channelThree,channelFour,channelFive,channelSix,channelSeven,moduleId,moduleError,moduleTimeRecorded,moduleCount,componentId,componentError,componentTimeRecorded,componentCount,moduleCount,componentCount,timeRecorded,count,ack,nack,beginPass,beginFileTransfer,ceaseTransmission,updateTime,device,hard,sunTimeStamp,sunAlphaAngle,sunBetaAngle,nadirTimeStamp,nadirAlphaAngle,nadirBetaAngle,
1678052795,1820,5159,2,1678052795,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1678052852,1820,5f66,2,1678052852,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1678052868,1820,b608,3,1678052868,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
1678052885,1820,b709,3,1678052885,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
1678052885,1820,f2fc,2,16909060,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1678052899,1820,b15a,3,1678052899,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1678052899,1820,f2fc,2,16909060,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1678052899,1820,2976,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2484.468994140625,2478.827880859375,2486.08056640625,2481.245361328125,681.7582397460938,2486.08056640625,23.486221313476562,2483.6630859375,2480.439697265625,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2486.08056640625,24.01953125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052900,1820,51db,21,16909060,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052900,1820,7ace,45,16909060,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129672050476074,5.026305198669434,3.328092098236084,234.60411071777344,2.6550939083099365,6.637700080871582,0.0,25.91448974609375,25.038787841796875,25.038787841796875,24.64117431640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
